system,experiment,request_id,is_cold,client_us,network_rtt_us,function_exec_us,overhead_us,pct_network,pct_function,pct_overhead
Lambda,throughput-c1,3462ab5033794c549de0e3e79c4a3c84,False,26113,4942.0,2721,18450.0,18.9,10.4,70.7
Lambda,throughput-c1,452bb4aa375b4e6089753d806ffc6bc4,False,27475,4897.0,2326,20252.0,17.8,8.5,73.7
Lambda,throughput-c1,8b40dbfef8fb4ae2bf637abd341d74e6,False,30280,6529.0,2194,21557.0,21.6,7.2,71.2
Lambda,throughput-c1,098062d32f4741208731e6ae33af5efa,False,25638,4840.0,2029,18769.0,18.9,7.9,73.2
Lambda,throughput-c1,c41d5b54810343d3b03ff622761b65c8,False,23674,5467.0,2082,16125.0,23.1,8.8,68.1
Lambda,throughput-c1,0909bf798dfd42f292ee094f4e3ee88c,False,21725,5570.0,2249,13906.0,25.6,10.4,64.0
Lambda,throughput-c1,e00902c3c41f473682edf800ee4f2c2d,False,26383,5138.0,2084,19161.0,19.5,7.9,72.6
Lambda,throughput-c1,2237387045ab49b5b53cb40587e4742d,False,25156,4908.0,2045,18203.0,19.5,8.1,72.4
Lambda,throughput-c1,4af25ad47a1f4f3182729e8f7a6d16a6,False,23712,4468.0,2251,16993.0,18.8,9.5,71.7
Lambda,throughput-c1,d0f2cdb8d1f64e98852e7d2f4539caa3,False,26552,5060.0,2175,19317.0,19.1,8.2,72.8
Lambda,throughput-c1,774923a7e721465685d6b0ae04c7af87,False,28983,4476.0,2195,22312.0,15.4,7.6,77.0
Lambda,throughput-c1,29f0ae1582404436bc036fea6a872989,False,29765,4522.0,2135,23108.0,15.2,7.2,77.6
Lambda,throughput-c1,bf4896802da6401aa8fc5a1bc037b843,False,33493,5960.0,2052,25481.0,17.8,6.1,76.1
Lambda,throughput-c1,493384b610da461f97f275aad2db527b,False,30976,6791.0,2514,21671.0,21.9,8.1,70.0
Lambda,throughput-c1,f0f0efd284a94863a9c0f8460377a90c,False,23456,5339.0,2111,16006.0,22.8,9.0,68.2
